"filename", "language", "Go Module File", "Makefile", "Go Checksum File", "Markdown", "MS SQL", "Docker", "Go", "HTTP", "YAML", "comment", "blank", "total"
"/home/ali/repos/Automation/internal/core/person/model.go", "Go", 0, 0, 0, 0, 0, 0, 64, 0, 0, 1, 11, 76
"/home/ali/repos/Automation/internal/core/person/repo.go", "Go", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 15, 106
"/home/ali/repos/Automation/internal/core/person/seed.go", "Go", 0, 0, 0, 0, 0, 0, 146, 0, 0, 2, 17, 165
"/home/ali/repos/Automation/internal/core/person/service.go", "Go", 0, 0, 0, 0, 0, 0, 153, 0, 0, 11, 27, 191
"/home/ali/repos/Automation/internal/core/persontype/model.go", "Go", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/home/ali/repos/Automation/internal/core/persontype/repo.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 9, 49
"/home/ali/repos/Automation/internal/core/persontype/seed.go", "Go", 0, 0, 0, 0, 0, 0, 36, 0, 0, 13, 8, 57
"/home/ali/repos/Automation/internal/core/persontype/service.go", "Go", 0, 0, 0, 0, 0, 0, 54, 0, 0, 3, 9, 66
"/home/ali/repos/Automation/internal/core/physicalinfo/model.go", "Go", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"/home/ali/repos/Automation/internal/core/physicalinfo/repo.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 11, 51
"/home/ali/repos/Automation/internal/core/physicalinfo/seed.go", "Go", 0, 0, 0, 0, 0, 0, 82, 0, 0, 8, 12, 102
"/home/ali/repos/Automation/internal/core/physicalinfo/service.go", "Go", 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 10, 81
"/home/ali/repos/Automation/internal/core/physicalstatus/model.go", "Go", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/home/ali/repos/Automation/internal/core/physicalstatus/repo.go", "Go", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"/home/ali/repos/Automation/internal/core/physicalstatus/seed.go", "Go", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 7, 39
"/home/ali/repos/Automation/internal/core/physicalstatus/service.go", "Go", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 9, 45
"/home/ali/repos/Automation/internal/core/prescription/model.go", "Go", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/home/ali/repos/Automation/internal/core/prescription/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/home/ali/repos/Automation/internal/core/prescription/seed.go", "Go", 0, 0, 0, 0, 0, 0, 39, 0, 0, 1, 7, 47
"/home/ali/repos/Automation/internal/core/prescription/service.go", "Go", 0, 0, 0, 0, 0, 0, 67, 0, 0, 4, 18, 89
"/home/ali/repos/Automation/internal/core/psychologicalstatus/model.go", "Go", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/ali/repos/Automation/internal/core/psychologicalstatus/repo.go", "Go", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"/home/ali/repos/Automation/internal/core/psychologicalstatus/seed.go", "Go", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 7, 39
"/home/ali/repos/Automation/internal/core/psychologicalstatus/service.go", "Go", 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 14, 67
"/home/ali/repos/Automation/internal/core/rank/model.go", "Go", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/ali/repos/Automation/internal/core/rank/repo.go", "Go", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 52
"/home/ali/repos/Automation/internal/core/rank/seed.go", "Go", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 7, 75
"/home/ali/repos/Automation/internal/core/rank/service.go", "Go", 0, 0, 0, 0, 0, 0, 78, 0, 0, 3, 11, 92
"/home/ali/repos/Automation/internal/core/religion/model.go", "Go", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/ali/repos/Automation/internal/core/religion/repo.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 9, 49
"/home/ali/repos/Automation/internal/core/religion/seed.go", "Go", 0, 0, 0, 0, 0, 0, 54, 0, 0, 15, 7, 76
"/home/ali/repos/Automation/internal/core/religion/service.go", "Go", 0, 0, 0, 0, 0, 0, 58, 0, 0, 3, 11, 72
"/home/ali/repos/Automation/internal/core/role/model.go", "Go", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/ali/repos/Automation/internal/core/role/repo.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 12, 57
"/home/ali/repos/Automation/internal/core/role/seed.go", "Go", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 7, 55
"/home/ali/repos/Automation/internal/core/role/service.go", "Go", 0, 0, 0, 0, 0, 0, 64, 0, 0, 3, 11, 78
"/home/ali/repos/Automation/internal/core/skills/model.go", "Go", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/home/ali/repos/Automation/internal/core/skills/repo.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 12, 57
"/home/ali/repos/Automation/internal/core/skills/seed.go", "Go", 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 9, 80
"/home/ali/repos/Automation/internal/core/skills/serivce.go", "Go", 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 11, 82
"/home/ali/repos/Automation/internal/db/db.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 8, 46
"/home/ali/repos/Automation/internal/db/migrate.go", "Go", 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 3, 61
"/home/ali/repos/Automation/internal/logger/logger.go", "Go", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"/home/ali/repos/Automation/internal/logger/logger.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 34, 85
"/home/ali/repos/Automation/internal/middleware/auth.go", "Go", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 5, 91
"/home/ali/repos/Automation/internal/middleware/headers.go", "Go", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"/home/ali/repos/Automation/internal/middleware/middleware.md", "Markdown", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 42, 107
"/home/ali/repos/Automation/internal/response/response.go", "Go", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"/home/ali/repos/Automation/internal/seeder/seed.go", "Go", 0, 0, 0, 0, 0, 0, 92, 0, 0, 2, 9, 103
"/home/ali/repos/Automation/migrations/000001_create_tables.down.sql", "MS SQL", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/home/ali/repos/Automation/migrations/000001_create_tables.up.sql", "MS SQL", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 16, 145
"/home/ali/repos/Automation/pkg/security/jwt.go", "Go", 0, 0, 0, 0, 0, 0, 39, 0, 0, 1, 7, 47
"/home/ali/repos/Automation/pkg/security/password.go", "Go", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 4, 15
"/home/ali/repos/Automation/pkg/services/router/router.go", "Go", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 4, 15
"/home/ali/repos/Automation/pkg/services/router/routes.go", "Go", 0, 0, 0, 0, 0, 0, 89, 0, 0, 24, 10, 123
"/home/ali/repos/Automation/readme.md", "Markdown", 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 56, 455
"/home/ali/repos/Automation/test (2)/http/databseservice/admin.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 87, 0, 16, 25, 128
"/home/ali/repos/Automation/test (2)/http/databseservice/contactinfo.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 41, 0, 11, 24, 76
"/home/ali/repos/Automation/test (2)/http/databseservice/createperson.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 68, 0, 5, 15, 88
"/home/ali/repos/Automation/test (2)/http/databseservice/credentials.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 59, 0, 15, 38, 112
"/home/ali/repos/Automation/test (2)/http/databseservice/education.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 33, 0, 8, 20, 61
"/home/ali/repos/Automation/test (2)/http/databseservice/familyinfo.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 16, 50
"/home/ali/repos/Automation/test (2)/http/databseservice/htttp.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 88, 0, 10, 20, 118
"/home/ali/repos/Automation/test (2)/http/databseservice/militarydetails.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 7, 42
"/home/ali/repos/Automation/test (2)/http/databseservice/person.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 75, 0, 11, 17, 103
"/home/ali/repos/Automation/test (2)/http/databseservice/physicalinfo.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 39, 0, 6, 13, 58
"/home/ali/repos/Automation/test (2)/http/databseservice/physicalstatus.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 33, 0, 6, 9, 48
"/home/ali/repos/Automation/test (2)/http/databseservice/role.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 33, 0, 7, 10, 50
"/home/ali/repos/Automation/test (2)/http/databseservice/skills.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 38, 0, 7, 10, 55
"Total", "-", 49, 22, 147, 515, 146, 6, 7475, 652, 60, 347, 1556, 10975
